Cloud Coverage,Precipitation,Temp,Classification
0,0,-5.9,1
0,0,-6.3,1
0,0,-6.5,1
1,1,-6.7,2
0,0,-6.5,1
0,0,-5.2,1
0,0,-3.7,1
0,0,-2.1,1
0,0,-0.2,1
0,0,2,1
0,0,3,1
0,0,4.3,1
0,0,4.2,1
0,0,4.7,1
1,1,4,2
1,3,2.8,2
0,0,1.1,1
0,0,0.1,1
0,0,-1.1,1
0,0,-0.4,1
0,0,-0.1,1
0,0,-0.4,1
0,0,-1.3,1
0,0,-0.2,1
0,0,0.3,1
0,0,-1.7,1
0,0,-0.8,1
3,5,0.4,3
7,15,1.7,5
8,23,3.5,6
8,22,4.8,6
8,23,5.7,6
7,17,6.1,5
7,14,6.9,5
7,15,7.8,5
7,16,7.9,5
7,14,8,5
7,15,9.2,5
8,23,8.5,6
8,24,7.3,6
7,15,3.6,5
7,14,1.8,5
6,14,0.9,5
7,14,0.6,5
8,19,-0.3,6
8,20,-0.6,6
8,29,-0.8,6
6,15,-1.7,5
2,5,-3,3
1,3,-4.3,2
0,0,-4.3,1
1,2,-4.5,2
1,3,-3.8,2
0,0,-2.9,1
0,0,-1.6,1
1,3,-0.8,2
1,2,0,2
0,0,2,1
0,0,2.6,1
0,0,3.4,1
0,0,3.3,1
0,0,2.8,1
0,0,2.3,1
0,0,1.5,1
0,0,-0.3,1
0,0,-0.8,1
0,0,-1.4,1
0,0,-2.4,1
0,0,-2.9,1
0,0,-3.1,1
0,0,-3.4,1
0,0,-3.4,1
0,0,-3.3,1
0,0,-3.7,1
0,0,-3.9,1
0,0,-4,1
0,0,-3.4,1
0,0,-2.1,1
0,0,-0.9,1
0,0,0.3,1
0,0,1.3,1
0,0,2.2,1
0,0,2.9,1
0,0,3.6,1
0,0,3.1,1
1,2,3.3,2
1,2,2.1,2
1,1,2.5,2
1,1,1.4,2
0,0,0.4,1
0,0,-0.2,1
0,0,-1,1
0,0,-1,1
1,1,-0.8,2
0,0,-1.3,1
3,8,-2.7,3
7,14,-3,5
7,15,-3,5
7,15,-3.4,5
7,15,-1.5,5
7,16,-1.2,5
6,17,0.2,5
1,1,2.8,2
1,3,4.4,2
1,2,5.5,2
1,2,6.1,2
1,1,6.6,2
1,1,7.6,2
2,7,7.3,3
6,14,7.3,5
8,27,4.7,6
7,15,3,5
6,15,2.2,5
6,17,1.8,5
3,4,1.5,3
1,1,1.5,2
1,3,0.9,2
0,0,0.4,1
0,0,0,1
3,8,0.1,3
5,13,0.7,4
7,14,1,5
6,17,1.7,5
8,26,2.3,6
8,89,2.6,10
8,63,3.2,8
8,37,5.8,7
8,87,5.9,10
7,16,6.5,5
7,17,9.2,5
7,15,11.2,5
8,18,10.5,6
8,24,10,6
7,17,11.3,5
7,16,11.2,5
7,15,10.5,5
7,15,10.1,5
7,15,10,5
8,25,9.4,6
7,15,8,5
8,27,6.9,6
8,41,6.2,7
8,29,4.8,6
8,20,4.2,6
8,23,4,6
8,18,3.9,6
8,19,3.7,6
7,17,4.3,5
7,16,4.2,5
7,16,4.7,5
4,12,6.2,4
1,2,8.2,2
2,4,9.7,3
3,6,9.7,3
2,5,11.2,3
3,6,11.3,3
2,6,11.1,3
2,4,11.1,3
3,5,10.7,3
3,8,9.7,3
4,13,7.3,4
7,17,5.9,5
5,13,4.6,4
5,12,3.2,4
7,14,3.1,5
7,16,3.2,5
8,29,3.8,6
7,60,3.8,8
8,92,3.3,10
8,61,2.6,8
8,61,1.8,8
8,44,1.6,7
8,79,1.8,9
8,49,2.2,8
8,72,3,9
8,38,3.2,7
6,83,3.5,9
8,48,3.8,7
8,49,4.3,8
6,39,3.5,7
8,35,3.4,7
8,83,2.8,9
8,99,2.8,10
8,63,2.7,8
8,64,2.4,8
8,64,1.5,8
8,60,1.1,8
8,48,0.8,7
4,50,0.4,8
4,33,0.4,7
8,80,0.2,9
8,58,-0.1,8
8,85,-0.4,10
8,73,-0.4,9
7,62,-0.4,8
6,53,-0.2,8
8,88,0,10
8,81,0.3,9
7,16,0.8,5
8,20,1,6
8,60,0.6,8
8,33,1.6,7
8,51,1.2,8
8,42,1.4,7
4,98,0.3,10
8,98,0.4,10
6,15,-0.5,5
7,17,-1.8,5
6,14,-2.7,5
6,17,-3.1,5
6,16,-3.4,5
7,15,-3.5,5
